Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Total Precip (mm)
2015-12-20,9.444444444444445,-1.1111111111111112,13.4112,0.06
2015-12-24,7.777777777777779,0.5555555555555556,7.59968,0.00
2015-12-25,8.88888888888889,2.7777777777777777,7.15264,0.00
2015-12-29,2.7777777777777777,-0.5555555555555556,11.62304,0.00
2016-01-01,-0.5555555555555556,-5.0,8.9408,0.00
2016-01-02,2.2222222222222223,-6.111111111111112,7.59968,0.00
2016-01-04,1.1111111111111112,-5.555555555555555,7.15264,0.00
2016-01-05,1.6666666666666667,-7.222222222222222,7.15264,0.00
2016-01-06,4.444444444444445,-5.555555555555555,6.7056,0.00
2016-01-07,8.88888888888889,0.5555555555555556,5.81152,0.00
2016-01-13,0.0,-15.0,10.28192,0.00
2016-01-14,11.11111111111111,-3.8888888888888893,10.72896,0.00
2016-01-16,-1.6666666666666667,-5.0,7.59968,0.00
2016-01-18,-12.777777777777779,-17.77777777777778,7.59968,0.00
2016-01-19,-7.222222222222222,-16.666666666666668,4.91744,0.12
2016-01-21,-4.444444444444445,-15.0,6.7056,0.00
2016-01-24,1.6666666666666667,-11.11111111111111,7.59968,0.00
2016-01-26,0.5555555555555556,-1.6666666666666667,11.62304,0.00
2016-01-30,12.222222222222223,0.5555555555555556,8.04672,0.00
2016-02-01,9.444444444444445,-0.5555555555555556,4.02336,0.00
2016-02-06,7.777777777777779,-5.555555555555555,5.81152,0.00
2016-02-07,9.444444444444445,-0.5555555555555556,11.62304,0.00
2016-02-10,-6.666666666666667,-15.0,8.9408,0.00
2016-02-11,-4.444444444444445,-13.333333333333334,4.02336,0.00
2016-02-13,-6.666666666666667,-15.555555555555557,6.7056,0.00
2016-02-18,7.222222222222222,-2.2222222222222223,11.62304,0.00
2016-02-19,17.77777777777778,5.0,16.09344,0.00
2016-02-20,21.11111111111111,2.2222222222222223,7.59968,0.00
2016-02-21,11.666666666666668,1.6666666666666667,7.59968,0.00
2016-02-23,9.444444444444445,-1.1111111111111112,11.176,0.00
2016-02-25,2.2222222222222223,0.0,9.83488,0.00
2016-02-27,11.666666666666668,-3.3333333333333335,8.9408,0.00
2016-02-28,18.88888888888889,3.8888888888888893,15.19936,0.02
2016-03-01,8.88888888888889,-3.3333333333333335,13.85824,0.01
2016-03-06,12.222222222222223,-1.6666666666666667,9.38784,0.00
2016-03-07,18.333333333333336,7.222222222222222,10.72896,0.14
2016-03-08,21.666666666666668,12.222222222222223,14.75232,0.00
2016-03-11,13.88888888888889,3.3333333333333335,5.81152,0.00
2016-03-16,16.11111111111111,2.7777777777777777,14.75232,0.00
2016-03-17,16.666666666666668,1.1111111111111112,10.28192,0.00
2016-03-18,10.555555555555555,0.0,5.81152,0.00
2016-03-19,8.88888888888889,2.7777777777777777,4.4704,0.01
2016-03-20,8.333333333333334,-0.5555555555555556,9.38784,0.00
2016-03-21,11.666666666666668,-2.7777777777777777,7.15264,0.00
2016-03-22,19.444444444444446,4.444444444444445,13.4112,0.00
2016-03-23,18.88888888888889,11.666666666666668,11.62304,0.00
2016-03-25,7.777777777777779,-0.5555555555555556,6.7056,0.00
2016-03-26,16.666666666666668,-1.1111111111111112,6.25856,0.00
2016-03-29,15.0,0.5555555555555556,7.59968,0.00
2016-04-02,9.444444444444445,-2.2222222222222223,21.01088,0.00
2016-04-03,18.88888888888889,-4.444444444444445,13.85824,0.00
2016-04-05,10.0,-3.8888888888888893,9.83488,0.00
2016-04-06,10.555555555555555,7.777777777777779,11.62304,0.84
