Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Daily Precip (mm)
3/12/2015,14.444444444444445,1.1111111111111112,7.15264,0.0
3/13/2015,8.88888888888889,4.444444444444445,5.81152,4.600000000000001
3/14/2015,15.0,3.3333333333333335,9.38784,0.0
3/15/2015,17.22222222222222,0.5555555555555556,7.15264,0.0
3/16/2015,22.77777777777778,5.555555555555555,8.9408,0.0
3/17/2015,10.0,0.0,14.75232,0.0
3/18/2015,7.222222222222222,-2.2222222222222223,4.4704,0.0
3/19/2015,10.0,2.7777777777777777,7.59968,0.0
3/20/2015,8.88888888888889,2.2222222222222223,6.7056,2.1999999999999997
3/21/2015,16.11111111111111,1.6666666666666667,6.7056,0.0
3/22/2015,11.666666666666666,1.1111111111111112,9.83488,0.0
3/23/2015,2.7777777777777777,-1.1111111111111112,9.38784,1.4
3/24/2015,6.666666666666667,-2.2222222222222223,10.28192,0.0
3/25/2015,8.88888888888889,5.0,9.38784,5.0
3/26/2015,8.333333333333334,-0.5555555555555556,8.9408,7.9
3/27/2015,2.7777777777777777,-5.555555555555555,8.04672,0.0
3/28/2015,3.888888888888889,-8.88888888888889,4.02336,0.0
3/29/2015,9.444444444444445,-4.444444444444445,12.51712,1.7
3/30/2015,18.333333333333332,0.0,7.59968,0.0
3/31/2015,18.88888888888889,4.444444444444445,8.04672,0.0
4/1/2015,23.333333333333332,2.2222222222222223,8.04672,0.0
4/2/2015,22.77777777777778,11.11111111111111,11.176,0.09999999999999998
4/3/2015,13.333333333333334,0.5555555555555556,11.62304,2.2999999999999994
4/4/2015,15.0,-3.888888888888889,8.04672,0.0
4/5/2015,19.444444444444443,0.5555555555555556,9.83488,0.0
4/6/2015,17.22222222222222,10.0,7.15264,0.0
4/7/2015,18.333333333333332,12.777777777777779,6.7056,0.8999999999999999
4/8/2015,23.88888888888889,14.444444444444445,10.72896,11.6
4/9/2015,25.0,11.11111111111111,13.85824,26.599999999999998
4/10/2015,18.88888888888889,3.888888888888889,13.85824,1.0
4/11/2015,17.22222222222222,0.5555555555555556,4.02336,0.0
4/12/2015,20.0,4.444444444444445,7.59968,0.0
4/13/2015,20.0,11.11111111111111,9.38784,1.1
4/14/2015,18.88888888888889,10.0,8.04672,0.0
4/15/2015,21.666666666666668,7.222222222222222,11.62304,0.0
4/16/2015,20.0,11.11111111111111,4.4704,1.0
